id,customer_name,subject,body_preview,category,priority,sentiment,reason
1,Lucas,Double charge on my invoice #13278,"Hi, I just noticed I was charged twice for order #13278, amount $388.35 each time. Can someone right now look into this and refund the duplicate charge?",billing,urgent,frustrated,mentions billing; uses urgent language ('right now')
2,Lucas,Question about my monthly invoice,"Hello, I don't understand a line item on this month's invoice. Could you clarify what the $388.69 charge labeled 'service fee' is for?",billing,normal,confused,mentions billing
3,Sophie,Refund request for order #87397,I returned my item last week and still haven't received my $225.04 refund for order #87397. Please process this right now .,billing,urgent,frustrated,mentions billing; uses urgent language ('right now')
4,Nathan,Update payment method,I need to update the credit card on file for my subscription. Can you send me a link to do that?,billing,low,neutral,mentions billing
5,Hugo,Invoice PDF not received,I never received the invoice PDF for #36062 by email. Could you resend it?,billing,normal,neutral,mentions billing
6,Hugo,App crashes on login,"The mobile app crashes every time I try to log in since the last update. I've tried reinstalling and it still fails. This is blocking my work, please help .",technical_support,high,frustrated,mentions technical support
7,Marie,Can't reset my password,I clicked 'forgot password' three times but never received the reset email. Can someone check right now ?,technical_support,urgent,frustrated,mentions technical support; uses urgent language ('right now')
8,Chloe,Slow loading dashboard,The analytics dashboard has been taking over a minute to load for the past two days. Is this a known issue?,technical_support,normal,neutral,mentions technical support
9,Laura,Integration with Zapier not syncing,Our Zapier integration stopped syncing new records this morning. Nothing changed on our end.,technical_support,high,worried,mentions technical support
10,Jean,How do I export my data?,I'd like to export all my project data to CSV. Is there a built-in way to do this?,technical_support,low,neutral,mentions technical support
11,Laura,Locked out of my account,I'm locked out of my account after too many failed login attempts. I need access for a client presentation.,account_access,urgent,worried,mentions account access
12,Louis,Need to change account email,I switched jobs and need to update the email address linked to my account.,account_access,low,neutral,mentions account access
13,Sophie,Two-factor authentication not working,"My authenticator app codes are being rejected and I can't get into my account. Please help , I have a deadline today.",account_access,urgent,frustrated,mentions account access
14,Sophie,Add a teammate to our workspace,Could you help me understand how to invite a new teammate to our workspace plan?,account_access,low,neutral,mentions account access
15,Laura,Account suspended without explanation,"My account was suspended overnight and I don't know why. I need this resolved , this is affecting my business.",account_access,urgent,angry,mentions account access
16,Thomas,Export button does nothing,"Clicking the 'Export to PDF' button on the reports page does nothing - no download, no error message. Using Chrome on Windows 11.",bug_report,normal,neutral,mentions bug report
17,Julie,Duplicate entries after sync,"After syncing with our CRM, every contact appears twice in the list. This is corrupting our data, please look into it .",bug_report,high,worried,mentions bug report
18,Thomas,Currency shown incorrectly,Prices are displaying in USD instead of EUR even though my account region is set to France.,bug_report,normal,neutral,mentions bug report
19,Thomas,Notifications not arriving,I stopped receiving email notifications for new comments about a week ago. Settings look unchanged.,bug_report,normal,confused,mentions bug report
20,Hugo,Broken link in weekly report email,The 'View full report' link in this week's email leads to a 404 page.,bug_report,low,neutral,mentions bug report
